('प्राथमिक-लट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्मणि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्मणि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्मणि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्मणि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लट्-कर्मणि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्तरि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्तरि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्तरि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्तरि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्तरि-द्विवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्तरि-द्विवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्तरि-बहुवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्तरि-बहुवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्तरि-बहुवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्मणि-एकवचन-उत्तमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्मणि-एकवचन-मध्यमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्मणि-एकवचन-प्रथमपुरुष', '', '', '', '', ''),
('प्राथमिक-लोट्-कर्मणि-द्विवचन-उत्तमपुरुष', '', '', '', '', ''),
